tweet,label
"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. 🥺",Positif
"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight",Negatif
"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/TRqlY09vYc",Positif
"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm",Positif
literally almost everytime😌 https://t.co/13fgGS5iJE,Netral
Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,Netral
Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,Positif
"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa 😭😭😭😭😭 https://t.co/EErfTtwE1D",Negatif
probably bikin twitter circle for sambat kerjaan purpose only https://t.co/1xquk7Ahz6,Negatif
"Looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you @konnect_danielk 💗 let’s walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘 #KANGDANIEL",Positif
Kalo udh mulai overthinking suka sesek di tenggorokan. Kek yg mo nangis aja gtuh ☹☹,Negatif
God my heart misses him so much even though my heart is broken to see him happy with another woman,Negatif
Healing bersama ayanggg https://t.co/t2fFwIWnL0,Positif
"“The sight of an indigo sky was beautiful. It was when darkness allowed light to shine for a while.”Nimisha Toshniwal 🙏🎁💙 @ Badung, Bali, Indonesia https://t.co/65Q0zo54Ee",Positif
"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! Ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga jlz 🙏🏻 Aku berada di jalur yang benar selama 10 tahun ini 🙏🏻🙏🏻🙏🏻🙏🏻",Positif
Siapa yang nangis sesugukan nonton Maleficent? Even udah di rewatch berkali2? Aku.,Negatif
This is the point. https://t.co/d8Evt0LC5V,Netral
3 point to the gunners,Netral
Kobo is actually Argentina 🇦🇷  Sky blue &amp; white  The sun means the bright weather as her job is to expell the rains  Vamos Argentina 🇦🇷 Messi GOAT 🐐 https://t.co/C30oAX2Ad8 https://t.co/5iNceF9xoD,Netral
"Do you try to see things from their point of view as well or do you try to make them understand you?   You can both be telling the truth but each from your own perspective. Understanding that alone, can stop lots of conflicts. #MotivationalQuotes #Motivational https://t.co/tXPwTUrJiF",Netral
"Gue sebenarnya malas berteman dengan orang yang homophobic(+transphobic) &amp; all around benci feminisme+sosialisme. Tapi, berhubung mereka baik sama gue &amp; kadang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangat bertentangan. #AddMyBeer https://t.co/tQ0g11yGPe",Negatif
"Tft, happy bgt healing nya ditemenin..... https://t.co/znauzRMt39",Positif
Hey Furu Fam! Which superhero is your most favorite one? Mine is spiderman!! Because he somehow relates to our teenage life and I like his suit as well!! I dedicated this Mosu x Spiderman = SpiderMosu!   @Jejouw @Nastasiadelinee @KarafuruNFT @WilFortuyn @WD_Willy @soloandrw_ https://t.co/DajHsPDL1O,Netral
Main close friend tp bkn berarti bsa share anything.. namanya manusia ya even sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,Negatif
"The question is : is Indonesia still get easily an Eastern military equipment such as from Russia?  All companies that related to Russia now has sanctioned by U.S. which mean small possibility to get mor equipment from 🇷🇺, especially export ""Downgrade"" of Su-35K Kommercheskiy https://t.co/42wqJG2K1i",Netral
Bos aku udah ngadain tour healing Tapi temen kerja pada gak mau liburan Emang aneh temen2ku ini :(,Negatif
self healing self healing matamu a,Negatif
"Gara2 buka line malah flashback, buka ig kok gaada foto berduanya. Overthinking..  Kenapa nihhh",Negatif
"Immerse in the tropical paradise🌴🥥 Which one is your favorite? 1, 2, or 3?  #nusapenida #baliindonesia #indtravel #tlasia #voyaged #travelbali #beautifuldestinations #treehouselife @ Nusa Penida Bali https://t.co/8owDC6YMZn",Netral
salah jam overthinking,Negatif
OVERTHINKING LAGI?,Negatif
Pumya seseorang yg langsung paham tanpa kepo masalah gue emg debest sih,Positif
