tweet,label
"pembicaraan mendalam ternyata memisahkan ituuu, dan selalu ngerasa terharu setelahnya. :pleading_face:",Positif
"istg jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif
"baca deh komen2 di postingan pak bahkan, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Positif
"bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif
secara harfiah hampir setiap kali:relieved_face:,Netral
variabel teraneh dalam hidup ini. saya sebagai orang menerima nge-crush-in kamiger kulkas kulkas 10 pintu :rolling_on_the_floor_laughing:.,Netral
"berakti tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali tuhan ingin membawa saya hanya tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang tuhan lakukan karena ada tuhan asal tertentu membawa saya karena dia mencintaiku",Positif
"udah jelas dibio ditulis, tapi masih pencocokan yaudah dengan titik aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",Negatif
mungkin bikin twitter circle untuk sambat kerjaan tujuan hanya,Negatif
"melihat kembali pada 2020 dengan cyan & amp; lagu magenta album ~ saya sangat bangga dengan anda :growing_heart: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ :growing_heart::sparkles: #강다니엘",Positif
kalo udh mulai terlalu memikirkan suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,Negatif
"tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif
penyembuhan bersama ayanggg,Positif
"“pemandangan langit indigo itu indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif
"ㄴㅇ ㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaananya santuy, fokez ama anak laki -laki kami doang ga pernah babibu bacot perang wor wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:",Positif
